StableReference	LongDescription	FullDescription
renaissance_furniture_col_freestanding_weapon_rack_02	A plain-joined oak freestanding weapon rack is positioned here, its oak surfaces contributing a practical presence to the room.	The plain-joined oak freestanding weapon rack is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The raised supporting faces are kept level and open, allowing the displayed form to remain plainly visible. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the col freestanding weapon setting.
renaissance_furniture_col_sword_rack_01	A round-fronted heavy-framed oak sword rack is positioned here, its oak surfaces contributing a practical presence to the room.	The round-fronted heavy-framed oak sword rack is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The raised supporting faces are kept level and open, allowing the displayed form to remain plainly visible. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the col sword rack setting.
renaissance_furniture_mar_bow_rack_02	A tall slotted wrought-iron bow rack is positioned here, its wrought iron surfaces contributing a practical presence to the room.	The tall slotted wrought-iron bow rack is built chiefly from wrought iron, with a deliberate silhouette and carefully fitted edges. The wrought iron is worked into shallow planes and firm edges that catch the light without appearing machine-finished. The raised supporting faces are kept level and open, allowing the displayed form to remain plainly visible. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the mar bow rack setting.
renaissance_furniture_mar_freestanding_weapon_rack_01	A low plain-framed teak freestanding weapon rack is positioned here, its teak surfaces contributing a practical presence to the room.	The low plain-framed teak freestanding weapon rack is built chiefly from teak, with a deliberate silhouette and carefully fitted edges. The teak grain is visible along its boards and braces, with the exposed edges burnished smooth. The raised supporting faces are kept level and open, allowing the displayed form to remain plainly visible. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the mar freestanding weapon setting.
renaissance_furniture_mar_matchlock_rack_03	An iron-bound cedar matchlock rack is positioned here, its cedar surfaces contributing a practical presence to the room.	The iron-bound cedar matchlock rack is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. The raised supporting faces are kept level and open, allowing the displayed form to remain plainly visible. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the mar matchlock rack setting.
renaissance_furniture_wer_wall_cupboard_01	A tiered marquetry-fronted oak wall cupboard is positioned here, its oak surfaces contributing a practical presence to the room.	The tiered marquetry-fronted oak wall cupboard is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the wer wall cupboard setting.
renaissance_furniture_iba_archive_bookcase_01	A painted-panel oak archive bookcase is positioned here, its oak surfaces contributing a practical presence to the room.	The painted-panel oak archive bookcase is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the iba archive bookcase setting.
renaissance_furniture_iba_wall_cupboard_02	A panelled oak wall cupboard is positioned here, its oak surfaces contributing a practical presence to the room.	The panelled oak wall cupboard is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the iba wall cupboard setting.
renaissance_furniture_cen_plate_hutch_01	A round-fronted painted ash plate hutch is positioned here, its ash surfaces contributing a practical presence to the room.	The round-fronted painted ash plate hutch is built chiefly from ash, with a deliberate silhouette and carefully fitted edges. The ash grain is visible along its boards and braces, with the exposed edges burnished smooth. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the cen plate hutch setting.
renaissance_furniture_nba_bookcase_01	A carved pine bookcase is positioned here, its pine surfaces contributing a practical presence to the room.	The carved pine bookcase is built chiefly from pine, with a deliberate silhouette and carefully fitted edges. The pine grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the nba bookcase 01 setting.
renaissance_furniture_nba_household_cupboard_02	A high pale-boarded oak household cupboard is positioned here, its oak surfaces contributing a practical presence to the room.	The high pale-boarded oak household cupboard is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the nba household cupboard setting.
renaissance_furniture_cef_household_cupboard_01	A low lattice-fronted walnut household cupboard is positioned here, its walnut surfaces contributing a practical presence to the room.	The low lattice-fronted walnut household cupboard is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the cef household cupboard setting.
renaissance_furniture_eon_bookcase_02	A recessed-panel pine bookcase is positioned here, its pine surfaces contributing a practical presence to the room.	The recessed-panel pine bookcase is built chiefly from pine, with a deliberate silhouette and carefully fitted edges. The pine grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the eon bookcase 02 setting.
renaissance_furniture_eon_household_cupboard_01	A plain-joined walnut household cupboard is positioned here, its walnut surfaces contributing a practical presence to the room.	The plain-joined walnut household cupboard is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the eon household cupboard setting.
renaissance_furniture_ott_service_hutch_01_lockable	An lock-fitted arched-top geometric-inlaid boxwood service hutch is positioned here, its boxwood surfaces contributing a practical presence to the room.	The lock-fitted arched-top geometric-inlaid boxwood service hutch is built chiefly from boxwood, with a deliberate silhouette and carefully fitted edges. The boxwood grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the ott service hutch setting.
renaissance_furniture_pip_wall_cupboard_01	An octagonal low walnut wall cupboard is positioned here, its walnut surfaces contributing a practical presence to the room.	The octagonal low walnut wall cupboard is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the pip wall cupboard setting.
renaissance_furniture_sas_large_storage_cabinet_01	A deep painted bamboo large storage cabinet is positioned here, its bamboo surfaces contributing a practical presence to the room.	The deep painted bamboo large storage cabinet is built chiefly from bamboo, with a deliberate silhouette and carefully fitted edges. The bamboo grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the sas large storage setting.
renaissance_furniture_eal_archive_bookcase_03	A tall recessed-panel cypress archive bookcase is positioned here, its cypress surfaces contributing a practical presence to the room.	The tall recessed-panel cypress archive bookcase is built chiefly from cypress, with a deliberate silhouette and carefully fitted edges. The cypress grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the eal archive bookcase setting.
renaissance_furniture_eal_hanging_cabinet_01_lockable	A lock-fitted broad lacquered lacquer hanging cabinet is positioned here, its lacquer surfaces contributing a practical presence to the room.	The lock-fitted broad lacquered lacquer hanging cabinet is built chiefly from lacquer, with a deliberate silhouette and carefully fitted edges. The lacquer surface is worked into clear planes and finished carefully around the principal edges. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the eal hanging cabinet setting.
renaissance_furniture_eal_lock_fitted_cupboard_02	A lattice-fronted bamboo lock-fitted cupboard is positioned here, its bamboo surfaces contributing a practical presence to the room.	The lattice-fronted bamboo lock-fitted cupboard is built chiefly from bamboo, with a deliberate silhouette and carefully fitted edges. The bamboo grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the eal lock fitted setting.
renaissance_furniture_jpn_household_cupboard_01	A compact slatted bamboo household cupboard is positioned here, its bamboo surfaces contributing a practical presence to the room.	The compact slatted bamboo household cupboard is built chiefly from bamboo, with a deliberate silhouette and carefully fitted edges. The bamboo grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the jpn household cupboard setting.
renaissance_furniture_mea_lock_fitted_cupboard_01	A narrow shell-faced teak lock-fitted cupboard is positioned here, its teak surfaces contributing a practical presence to the room.	The narrow shell-faced teak lock-fitted cupboard is built chiefly from teak, with a deliberate silhouette and carefully fitted edges. The teak grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the mea lock fitted setting.
renaissance_furniture_sem_large_storage_cabinet_01	A lacquered lacquer large storage cabinet is positioned here, its lacquer surfaces contributing a practical presence to the room.	The lacquered lacquer large storage cabinet is built chiefly from lacquer, with a deliberate silhouette and carefully fitted edges. The lacquer surface is worked into clear planes and finished carefully around the principal edges. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the sem large storage setting.
renaissance_furniture_msea_hanging_cabinet_02	A deep low rattan hanging cabinet is positioned here, its rattan surfaces contributing a practical presence to the room.	The deep low rattan hanging cabinet is built chiefly from rattan, with a deliberate silhouette and carefully fitted edges. The rattan grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the msea hanging cabinet setting.
renaissance_furniture_msea_large_storage_cabinet_01	A low rattan large storage cabinet is positioned here, its rattan surfaces contributing a practical presence to the room.	The low rattan large storage cabinet is built chiefly from rattan, with a deliberate silhouette and carefully fitted edges. The rattan grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the msea large storage setting.
renaissance_furniture_stp_large_storage_cabinet_01	A low birch large storage cabinet is positioned here, its birch surfaces contributing a practical presence to the room.	The low birch large storage cabinet is built chiefly from birch, with a deliberate silhouette and carefully fitted edges. The birch surface is worked into clear planes and finished carefully around the principal edges. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the stp large storage setting.
renaissance_furniture_aca_lock_fitted_cupboard_01	A deep-carved wicker lock-fitted cupboard is positioned here, its wicker surfaces contributing a practical presence to the room.	The deep-carved wicker lock-fitted cupboard is built chiefly from wicker, with a deliberate silhouette and carefully fitted edges. The wicker surface is worked into clear planes and finished carefully around the principal edges. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the aca lock fitted setting.
renaissance_furniture_sai_household_cupboard_02	A round-fronted reed-fronted wicker household cupboard is positioned here, its wicker surfaces contributing a practical presence to the room.	The round-fronted reed-fronted wicker household cupboard is built chiefly from wicker, with a deliberate silhouette and carefully fitted edges. The wicker surface is worked into clear planes and finished carefully around the principal edges. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the sai household cupboard setting.
renaissance_furniture_sai_lock_fitted_cupboard_01	A high painted wood lock-fitted cupboard is positioned here, its wood surfaces contributing a practical presence to the room.	The high painted wood lock-fitted cupboard is built chiefly from wood, with a deliberate silhouette and carefully fitted edges. The wood surface is worked into clear planes and finished carefully around the principal edges. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the sai lock fitted setting.
renaissance_furniture_rse_large_storage_cabinet_01	A leather-covered olivewood large storage cabinet is positioned here, its olive wood surfaces contributing a practical presence to the room.	The leather-covered olivewood large storage cabinet is built chiefly from olive wood, with a deliberate silhouette and carefully fitted edges. The olive wood surface is worked into clear planes and finished carefully around the principal edges. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the rse large storage setting.
renaissance_furniture_mes_bookcase_01	A tiered deep-carved wood bookcase is positioned here, its wood surfaces contributing a practical presence to the room.	The tiered deep-carved wood bookcase is built chiefly from wood, with a deliberate silhouette and carefully fitted edges. The wood surface is worked into clear planes and finished carefully around the principal edges. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the mes bookcase 01 setting.
renaissance_furniture_car_archive_bookcase_01	A deep woven wicker archive bookcase is positioned here, its wicker surfaces contributing a practical presence to the room.	The deep woven wicker archive bookcase is built chiefly from wicker, with a deliberate silhouette and carefully fitted edges. The wicker surface is worked into clear planes and finished carefully around the principal edges. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the car archive bookcase setting.
renaissance_furniture_nac_hanging_cabinet_02	A tall hide-covered birch hanging cabinet is positioned here, its birch surfaces contributing a practical presence to the room.	The tall hide-covered birch hanging cabinet is built chiefly from birch, with a deliberate silhouette and carefully fitted edges. The birch surface is worked into clear planes and finished carefully around the principal edges. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the nac hanging cabinet setting.
renaissance_furniture_nac_wall_cupboard_01	A bark-panelled wicker wall cupboard is positioned here, its wicker surfaces contributing a practical presence to the room.	The bark-panelled wicker wall cupboard is built chiefly from wicker, with a deliberate silhouette and carefully fitted edges. The wicker surface is worked into clear planes and finished carefully around the principal edges. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the nac wall cupboard setting.
renaissance_furniture_col_bookcase_01	An arched-top heavy-framed oak bookcase is positioned here, its oak surfaces contributing a practical presence to the room.	The arched-top heavy-framed oak bookcase is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the col bookcase 01 setting.
renaissance_furniture_col_corner_cupboard_02	A wide panelled pine corner cupboard is positioned here, its pine surfaces contributing a practical presence to the room.	The wide panelled pine corner cupboard is built chiefly from pine, with a deliberate silhouette and carefully fitted edges. The pine grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the col corner cupboard setting.
renaissance_furniture_mar_hanging_cabinet_04	A tar-darkened teak hanging cabinet is positioned here, its teak surfaces contributing a practical presence to the room.	The tar-darkened teak hanging cabinet is built chiefly from teak, with a deliberate silhouette and carefully fitted edges. The teak grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the mar hanging cabinet setting.
renaissance_furniture_mar_large_storage_cabinet_02	A broad slotted cedar large storage cabinet is positioned here, its cedar surfaces contributing a practical presence to the room.	The broad slotted cedar large storage cabinet is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the mar large storage setting.
renaissance_furniture_mar_plate_hutch_03	A slender collapsible teak plate hutch is positioned here, its teak surfaces contributing a practical presence to the room.	The slender collapsible teak plate hutch is built chiefly from teak, with a deliberate silhouette and carefully fitted edges. The teak grain is visible along its boards and braces, with the exposed edges burnished smooth. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the mar plate hutch setting.
renaissance_furniture_mar_wall_cupboard_01	A tall plain-framed pine wall cupboard is positioned here, its pine surfaces contributing a practical presence to the room.	The tall plain-framed pine wall cupboard is built chiefly from pine, with a deliberate silhouette and carefully fitted edges. The pine grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the mar wall cupboard setting.
renaissance_furniture_wer_secretary_cabinet_01	A pilastered boxwood secretary cabinet is positioned here, its boxwood surfaces contributing a practical presence to the room.	The pilastered boxwood secretary cabinet is built chiefly from boxwood, with a deliberate silhouette and carefully fitted edges. The boxwood grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the wer secretary cabinet setting.
renaissance_furniture_wer_secretary_cabinet_03	A marquetry-fronted oak secretary cabinet is positioned here, its oak surfaces contributing a practical presence to the room.	The marquetry-fronted oak secretary cabinet is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the wer secretary cabinet setting.
renaissance_furniture_wer_slant_front_desk_02	A moulded chestnut slant-front desk is positioned here, its chestnut surfaces contributing a practical presence to the room.	The moulded chestnut slant-front desk is built chiefly from chestnut, with a deliberate silhouette and carefully fitted edges. The chestnut surface is worked into clear planes and finished carefully around the principal edges. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the wer slant front setting.
renaissance_furniture_iba_campaign_desk_04		The narrow iron-bound olivewood campaign desk is built chiefly from olive wood, with a deliberate silhouette and carefully fitted edges. The olive wood surface is worked into clear planes and finished carefully around the principal edges. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the iba campaign desk setting.
renaissance_furniture_iba_clerks_desk_02	A low leather-faced boxwood clerk's desk is positioned here, its boxwood surfaces contributing a practical presence to the room.	The low leather-faced boxwood clerk's desk is built chiefly from boxwood, with a deliberate silhouette and carefully fitted edges. The boxwood grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the iba clerks desk setting.
renaissance_furniture_iba_lock_fitted_desk_01	A carved cedar lock-fitted desk is positioned here, its cedar surfaces contributing a practical presence to the room.	The carved cedar lock-fitted desk is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the iba lock fitted setting.
renaissance_furniture_iba_slant_front_desk_03	A plain-joined boxwood slant-front desk is positioned here, its boxwood surfaces contributing a practical presence to the room.	The plain-joined boxwood slant-front desk is built chiefly from boxwood, with a deliberate silhouette and carefully fitted edges. The boxwood grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the iba slant front setting.
renaissance_furniture_cen_campaign_desk_01		The long painted beech campaign desk is built chiefly from beech, with a deliberate silhouette and carefully fitted edges. The beech surface is worked into clear planes and finished carefully around the principal edges. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the cen campaign desk setting.
renaissance_furniture_cen_campaign_desk_03		The massive slatted linden campaign desk is built chiefly from linden, with a deliberate silhouette and carefully fitted edges. The linden surface is worked into clear planes and finished carefully around the principal edges. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the cen campaign desk setting.
renaissance_furniture_cen_secretary_cabinet_02	A compact gabled beech secretary cabinet is positioned here, its beech surfaces contributing a practical presence to the room.	The compact gabled beech secretary cabinet is built chiefly from beech, with a deliberate silhouette and carefully fitted edges. The beech surface is worked into clear planes and finished carefully around the principal edges. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the cen secretary cabinet setting.
renaissance_furniture_cen_writing_desk_04	A massive gabled linden writing desk is positioned here, its linden surfaces contributing a practical presence to the room.	The massive gabled linden writing desk is built chiefly from linden, with a deliberate silhouette and carefully fitted edges. The linden surface is worked into clear planes and finished carefully around the principal edges. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the cen writing desk setting.
renaissance_furniture_nba_counting_desk_02	A deep pale-boarded oak counting desk is positioned here, its oak surfaces contributing a practical presence to the room.	The deep pale-boarded oak counting desk is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the nba counting desk setting.
renaissance_furniture_nba_secretary_cabinet_01_lockable	A lock-fitted square stave-faced pine secretary cabinet is positioned here, its pine surfaces contributing a practical presence to the room.	The lock-fitted square stave-faced pine secretary cabinet is built chiefly from pine, with a deliberate silhouette and carefully fitted edges. The pine grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the nba secretary cabinet setting.
renaissance_furniture_eon_counting_desk_01	A birch-faced linden counting desk is positioned here, its linden surfaces contributing a practical presence to the room.	The birch-faced linden counting desk is built chiefly from linden, with a deliberate silhouette and carefully fitted edges. The linden surface is worked into clear planes and finished carefully around the principal edges. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the eon counting desk setting.
renaissance_furniture_eon_map_desk_02_lockable	A lock-fitted massive carved ash map desk is positioned here, its ash surfaces contributing a practical presence to the room.	The lock-fitted massive carved ash map desk is built chiefly from ash, with a deliberate silhouette and carefully fitted edges. The ash grain is visible along its boards and braces, with the exposed edges burnished smooth. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the eon map desk setting.
renaissance_furniture_eon_secretary_cabinet_03	A plain-joined linden secretary cabinet is positioned here, its linden surfaces contributing a practical presence to the room.	The plain-joined linden secretary cabinet is built chiefly from linden, with a deliberate silhouette and carefully fitted edges. The linden surface is worked into clear planes and finished carefully around the principal edges. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the eon secretary cabinet setting.
renaissance_furniture_eon_slant_front_desk_05_lockable	A lock-fitted slatted pine slant-front desk is positioned here, its pine surfaces contributing a practical presence to the room.	The lock-fitted slatted pine slant-front desk is built chiefly from pine, with a deliberate silhouette and carefully fitted edges. The pine grain is visible along its boards and braces, with the exposed edges burnished smooth. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the eon slant front setting.
renaissance_furniture_eon_writing_desk_04	A slender iron-bound oak writing desk is positioned here, its oak surfaces contributing a practical presence to the room.	The slender iron-bound oak writing desk is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the eon writing desk setting.
renaissance_furniture_pip_lock_fitted_desk_02	A lacquered sandalwood lock-fitted desk is positioned here, its sandalwood surfaces contributing a practical presence to the room.	The lacquered sandalwood lock-fitted desk is built chiefly from sandalwood, with a deliberate silhouette and carefully fitted edges. The sandalwood surface is worked into clear planes and finished carefully around the principal edges. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the pip lock fitted setting.
renaissance_furniture_pip_writing_desk_01	A broad painted lacquer writing desk is positioned here, its lacquer surfaces contributing a practical presence to the room.	The broad painted lacquer writing desk is built chiefly from lacquer, with a deliberate silhouette and carefully fitted edges. The lacquer surface is worked into clear planes and finished carefully around the principal edges. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the pip writing desk setting.
renaissance_furniture_sas_secretary_cabinet_01	An octagonal teak-framed teak secretary cabinet is positioned here, its teak surfaces contributing a practical presence to the room.	The octagonal teak-framed teak secretary cabinet is built chiefly from teak, with a deliberate silhouette and carefully fitted edges. The teak grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the sas secretary cabinet setting.
renaissance_furniture_eal_clerks_desk_03	A broad tiered cypress clerk's desk is positioned here, its cypress surfaces contributing a practical presence to the room.	The broad tiered cypress clerk's desk is built chiefly from cypress, with a deliberate silhouette and carefully fitted edges. The cypress grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the eal clerks desk setting.
